date,lie,explanation,url
2017-07-24,"It looks like about 45,000 people. You set a record today.","Many fewer than 45,000 were there, and the attendance was not a record.",https://www.washingtonpost.com/news/fact-checker/wp/2017/07/26/26-hours-29-trumpian-false-or-misleading-claims/?utm_term=.2e4b2407199f
2017-07-25,"We have the highest taxes anywhere in the world, and this will really bring them down to one of the lowest.","Tax rates in the United States are below average, overall and for an industrialized country.",http://www.politifact.com/truth-o-meter/statements/2017/oct/18/donald-trump/once-again-trump-overstates-us-tax-ranking/
2017-07-25,We’re the highest-taxed nation in the world,We're not.,http://www.politifact.com/truth-o-meter/statements/2017/oct/18/donald-trump/once-again-trump-overstates-us-tax-ranking/
2017-07-25,We have nearly doubled the number of veterans given approvals to see the doctor of their choice.,The increase was 26 percent.,https://www.usatoday.com/story/opinion/2017/07/24/veterans-health-care-will-not-be-privatized-david-shulkin-column/499417001/
2017-07-25,Since I took office we have cut illegal immigration on our southern border by record numbers. 78 percent.,The decline began before Trump's inauguration.,https://www.nytimes.com/interactive/2017/10/12/us/politics/trump-border-claim-factcheck.html?_r=0
2017-07-28,"The previous administration enacted an open-door policy to illegal migrants from Central America.  ""Welcome in. Come in, please, please.",Obama deported millions.,http://www.politifact.com/truth-o-meter/article/2017/jul/28/fact-checking-donald-trumps-ny-speech-law-enforcem/
2017-07-28,We have trade deficits with almost every country because we had a lot of really bad negotiators making deals with other countries.,The U.S. has a trade surplus with more than 100 countries.,https://www.bea.gov/newsreleases/international/trade/2017/trad0917.htm
2017-07-31,2.6 is a number that nobody thought they’d see for a long period of time.,Many experts predicted economic growth at least this high.,http://www.factcheck.org/2017/08/trumps-gdp-puffery/
2017-07-31,"And even the President of Mexico called me  – they said their southern border, very few people are coming because they know they’re not going to get through our border, which is the ultimate compliment.",Mexico's president says he didn't call Trump.,http://www.cnn.com/2017/08/02/politics/trump-phone-calls/index.html
2017-08-01,"And I think to me, maybe the biggest is that GDP for the quarter just released at 2.6 percent. So that's so much higher than anticipated.",It wasn't.,http://www.factcheck.org/2017/08/trumps-gdp-puffery/
2017-08-03,Economic growth has surged to 2.6% nationwide. You have to understand what that means. Nobody thought that number was going to happen.,Many experts predicted that.,https://www.usatoday.com/story/news/politics/2017/08/04/fact-checking-donald-trumps-west-virginia-rally/541318001/
2017-08-03,The Russia story is a total fabrication.,It's not.,https://www.washingtonpost.com/news/fact-checker/wp/2017/08/03/fact-checking-the-trump-russia-investigation/?utm_term=.1404a36076a6
2017-08-03,Or let them look at the uranium she sold that is now in the hands of very angry Russians.,There's no evidence Hillary Clinton was actively involved in the sale.,http://www.factcheck.org/2017/08/factchecking-trumps-west-virginia-rally/
2017-08-15,"We want products made in the country. Now, I have to tell you, some of the folks that will leave, they're leaving out of embarrassment because they make their products outside.",People resigned from Trump's business councils over his Charlottesville comments.,http://money.cnn.com/2017/08/16/news/trump-manufacturing-council-ceos/index.html
2017-08-22,"Remember, everybody said you won’t bring it up to 1 percent. You won’t bring it up to 1.2 percent.",Many experts predicted economic growth at least this high.,https://washingtonmonthly.com/2017/08/23/quick-takes-how-many-lies-did-trump-tell-last-night/
2017-08-22,"I mean truly dishonest people in the media and the fake media, they make up stories. They have no sources in many cases. They say 'a source says'  – there is no such thing.",The media does not make up sources.,http://www.factcheck.org/2017/02/factchecking-trumps-cpac-speech/
2017-08-22,"As everybody here remembers, this was the scene of my first rally speech, right?",Trump's first rally was in New Hampshire,https://www.realclearpolitics.com/articles/2015/06/18/at_trumps_nh_rally_true_believers_and_big_fans_127030.html
2017-08-22,We have become an energy exporter for the first time ever just recently.,The U.S. isn't projected to become a net energy exporter until 2026.,http://www.politifact.com/truth-o-meter/statements/2017/aug/23/donald-trump/donald-trump-wrongly-says-us-net-energy-exporte/
2017-08-22,"Look back there, the live red lights. They're turning those suckers off fast out there. They're turning those lights off fast. Like CNN.",CNN didn't turn off its cameras.,http://www.cnn.com/2017/08/23/politics/phoenix-rally-things-trump-got-wrong/index.html
2017-09-06,The taxes are crazy  – the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-09-06,We are the highest taxed nation in the world - that will change.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-09-08,"Our incredible U.S. Coast Guard saved more than 15,000 lives last week with Harvey.","The real number is 11,022.",https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
2017-09-14,"Also with the fact that I know in the case of FEMA and the case of Coast Guard, the job you've done in saving people, saving lives.  As an example, in Harvey in Texas, we talked  – over 16,000 lives.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
2017-09-14,And in Florida you got hit with the strongest winds ever recorded.,They weren't the strongest ever recorded.,https://www.washingtonpost.com/news/post-nation/wp/2017/09/09/destructive-winds-rain-hit-florida-as-hurricane-irma-approaches/
2017-09-22,"We've been dealing with ICE, we've been dealing with the Border Patrol. They both endorsed me.",Neither agency endorsed him; only their unions did.,http://www.politifact.com/truth-o-meter/statements/2016/oct/10/donald-trump/trump-says-ice-endorsed-him/
2017-09-22,"So he started off here, he was in third or fourth, he went to third, second, and now it's like almost pretty even.",Strange consistently polled first or second in the Alabama Republican primary.,https://www.realclearpolitics.com/epolls/2017/senate/al/alabama_senate_special_election_republican_primary-6220.html#polls
2017-09-29,"With the F-35 fighter plane  – me, myself  – I've saved hundreds of millions of dollars in negotiating.",The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
2017-09-27,"I’m doing the right thing, and it’s not good for me.",All available evidence suggests he would benefit.,https://www.washingtonpost.com/news/fact-checker/wp/2017/09/28/fact-checking-president-trumps-tax-speech-in-indianapolis/?utm_term=.1c2a17457496
2017-09-27,"To protect millions of small businesses and the American farmer, we are finally ending the crushing, the horrible, the unfair estate tax.",The real number of small businesses and farmers is vastly smaller.,http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-pants-fire-claim-about-estate-tax-sm/
2017-09-27,"No, I don't benefit. I don't benefit. In fact, very very strongly, as you see, I think there's very little benefit for people of wealth.",The tax plan would personally benefit Trump and other wealthy individuals.,http://www.politifact.com/truth-o-meter/statements/2017/sep/28/donald-trump/donald-trumps-dubious-claim-his-tax-plan-wont-bene/
2017-09-27,"Facebook was always anti-Trump.The Networks were always anti-Trump hence,Fake News, @nytimes(apologized) & @WaPo were anti-Trump.",The Times did not apologize for its Trump coverage.,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html
2017-09-28,"I mean right now, we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-03,"But the Coast Guard itself saved in Texas 16,000 lives, and they went right through that hurricane.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
2017-10-03,"But that's an expensive plane that you can't see. And as you probably heard, we cut the price very substantially  – something that other administrations would never have done, that I can tell you.",The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
2017-10-06,I was able to reduce the price of the Lockheed by billions of dollars.,The cost cuts were planned before he became president.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/?utm_term=.ef182851faef
2017-10-06,"We're the highest-taxed developed nation in the world, probably the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-06,They also just said that there has been absolutely no collusion. They just said that. Yesterday. Two days ago. Senate. There has been no collusion.,The Senate didn't say that.,http://www.cnn.com/TRANSCRIPTS/1710/04/ip.02.html
2017-10-06,"This tax cut and tax reform is going very well, and it's going to be a tremendous boost for our country, including the fact that we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-07,We're the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-07,"The Coast Guard, in Texas, and all over, but with the job they did in Texas, I saw, they saved 16,000 lives.",The real number is smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
2017-10-07,Obama should have never gotten out the way he got out. That's how ISIS formed.,The group’s origins date to 2004.,https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html
2017-10-10,"The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!",Corker asked the Times reporter to record the call; his aides recorded it too.,https://www.nytimes.com/2017/10/10/reader-center/trump-claims-we-tricked-bob-corker-heres-the-truth.html?_r=0
2017-10-10,We're the highest-taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-11,"We have missiles that can knock out a missile in the air. Ninety seven per cent of the time. If you send two of them, it's going to get knocked out.",The effectiveness rate is about 60 percent.,https://warontherocks.com/2017/10/deadly-overconfidence-trump-thinks-missile-defenses-work-against-north-korea-and-that-should-scare-you/
2017-10-16,We're the highest-taxed country in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-16,I hear that Ireland is going to be reducing their corporate rates down to 8 percent from 12.,Ireland has no plans to cut its tax rate.,https://www.snopes.com/trump-ireland-tax/
2017-10-16,"If you look at President Obama and other presidents, most of them didn’t make calls.",They did call families of soldiers killed in action.,https://www.nytimes.com/2017/10/16/us/politics/trump-obama-killed-soldiers.html
2017-10-16,"All I can say is it's totally fake news, just fake. It's fake. It's made-up stuff, and it's disgraceful what happens, but that happens in the world of politics.",Trump himself has bragged about groping women.,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/27/trump-says-sex-harassment-claims-are-fake-news-but-there-are-corroborators/?utm_term=.23c3b28384e2
2017-10-17,We're the highest taxed nation in the world.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-17,"Right now, we are the highest-taxed nation anywhere in the world. You can even say developed or undeveloped.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-17,"As far as I'm concerned, I think we're really essentially the highest. But if you'd like to add the developed nation, you can say that, too.",Taxes in the U.S. are lower than in most developed countries.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-17,We're the highest-taxed nation in the world. We are taxed beyond belief.,We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-17,"Well, we're the highest-taxed nation in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-10-17,I wish President Obama didn't get out the way he got out. Because that left a vacuum and ISIS was formed.,The group’s origins date to 2004.,https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html
2017-10-18,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof).,The wife confirmed Representative Frederica Wilson's account.,http://time.com/4993045/myeshia-johnson-donald-trump-frederica-wilson/
2017-10-18,"The Coast Guard in Texas saved 16,000 lives.",The real number was smaller.,https://content.govdelivery.com/accounts/USDHSCG/bulletins/1b5ace3
2017-10-18,Nobody has ever heard of a five hitting land.,Category 5 storms have hit land before.,http://www.cnn.com/2017/09/07/us/three-category-5-hurricanes-landfall-trnd/index.html
2017-10-24,"Under our plan, more than 30 million Americans who own small businesses will get a 40 per cent cut to their top marginal tax rate.",The real number is estimated to be less than 1 million.,http://www.businessinsider.com/trump-small-business-tax-cut-pass-through-s-corporations-2017-10
2017-10-25,We have trade deficits with almost everybody.,We have trade surpluses with more than 100 countries.,https://www.bea.gov/newsreleases/international/trade/2017/trad0917.htm
2017-10-27,"Wacky & totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!",Steyer has financially supported many winning candidates.,https://www.opensecrets.org/donor-lookup/results?name=Thomas+Steyer
2017-11-01,"Again, we're the highest-taxed nation, just about, in the world.",We're not.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/
2017-11-07,"When you look at the city with the strongest gun laws in our nation, it's Chicago.","Several other cities, including New York and Los Angeles, have stronger gun laws.",http://www.politifact.com/truth-o-meter/statements/2017/nov/07/donald-trump/trump-wrongly-repeats-chicago-has-strongest-gun-la/
2017-11-11,"I'd rather have him  – you know, work with him on the Ukraine than standing and arguing about whether or not  – because that whole thing was set up by the Democrats.","There is no evidence that Democrats ""set up"" Russian interference in the election.",https://www.nytimes.com/interactive/2017/12/10/us/politics/trump-and-russia.html
